bg,eq_BG,CGM_glucose,running_temp,rate,IOB,unsafe_action_reason
78.92,106,78.92233011030525,0.25,0.35,-0.816,Null
78.92,106,78.92409219210644,0.35,0.35,-0.829,Null
78.93,105,78.92755181968734,0.35,0.25,-0.791,Null
78.93,105,78.93340564372305,0.25,0.25,-0.804,Null
78.94,106,78.94097226896601,0.25,0.35,-0.817,Null
78.95,106,78.94908333990361,0.35,0.35,-0.83,Null
78.96,105,78.95797186132192,0.35,0.25,-0.793,Null
78.97,105,78.96839687397622,0.25,0.25,-0.806,Null
78.98,106,78.97975922683524,0.25,0.35,-0.818,Null
78.99,106,78.99097628054018,0.35,0.35,-0.831,Null
79,105,79.00236373822905,0.35,0.25,-0.794,Null
79.01,105,79.01475709503411,0.25,0.25,-0.807,Null
79.03,106,79.02762541054098,0.25,0.35,-0.819,Null
79.04,106,79.03994638269499,0.35,0.35,-0.832,Null
79.05,105,79.05208980324984,0.35,0.25,-0.795,Null
79.06,105,79.0649392246942,0.25,0.25,-0.808,Null
79.08,106,79.0780052072507,0.25,0.35,-0.821,Null
79.09,107,79.09030151333621,0.35,0.45,-0.833,Null
79.1,107,79.1022303570077,0.45,0.45,-0.846,Null
79.11,105,79.11470407931354,0.45,0.25,-0.808,Null
79.13,106,79.12725766860339,0.25,0.35,-0.821,Null
79.14,107,79.13744952862642,0.35,0.45,-0.834,Null
79.14,107,79.14233069522615,0.45,0.45,-0.846,Null
79.14,106,79.14205990211512,0.45,0.35,-0.809,Null
79.14,106,79.13657470886814,0.35,0.35,-0.821,Null
79.12,104,79.1242917703661,0.35,0.15,-0.783,Null
79.1,105,79.103244709721,0.15,0.25,-0.796,Null
79.07,105,79.07307072400958,0.25,0.25,-0.809,Null
79.03,106,79.03415335621617,0.25,0.35,-0.822,Null
78.99,107,78.99014772769465,0.35,0.45,-0.834,Null
78.94,107,78.94417402568271,0.45,0.45,-0.847,Null
78.9,105,78.89881680218208,0.45,0.25,-0.809,Null
78.85,106,78.8546934846369,0.25,0.35,-0.822,Null
78.81,106,78.81009943654396,0.35,0.35,-0.834,Null
78.76,105,78.76260587771222,0.35,0.25,-0.797,Null
78.71,105,78.71273051990553,0.25,0.25,-0.809,Null
78.66,106,78.66065813812197,0.25,0.35,-0.822,Null
78.61,106,78.60644408365633,0.35,0.35,-0.834,Null
78.55,104,78.55157590471804,0.35,0.15,-0.797,Null
78.5,105,78.49795723236579,0.15,0.25,-0.809,Null
78.45,105,78.44598071713871,0.25,0.25,-0.822,Null
78.4,106,78.39539253954881,0.25,0.35,-0.835,Null
78.35,106,78.34863343825512,0.35,0.35,-0.847,Null
